Status,Class,Type,Original Price,Price,Address,Address Lot/Unit,District,List Date,Price Date,Days On Market,City,State,Zip,Picture Count,MLS Number,Contract Date,Closing Date,Hotsheet Date
SOLD,Condominium,Condo,268000,278000,111 Kahului Beach Rd,B312,Kahului,3/30/2023,6/14/2023,76,Kahului,HI,96732,23,398496,4/4/2023,6/14/2023,6/14/2023
SOLD,Condominium,Condo,825000,785000,4471 Lower Honoapiilani Rd,401,Napili/Kahana/Honokowai,4/11/2023,6/14/2023,63,Lahaina,HI,96761,38,398596,4/28/2023,6/13/2023,6/14/2023
SOLD,Residential,Single Family,1280000,1200000,17 MALUNAWAI St,,Wailuku,4/21/2023,6/14/2023,53,Wailuku,HI,96793,31,398679,5/12/2023,6/13/2023,6/14/2023
SOLD,Condominium,Condo,5250000,5250000,1 Bay DR,3501,Kapalua,5/5/2023,5/5/2023,40,Lahaina,HI,96761,49,398797,5/12/2023,6/14/2023,6/14/2023
SOLD,Condominium,Condo,1085500,1095500,2191 S Kihei Rd,3-411,Kihei,5/15/2023,6/14/2023,30,Kihei,HI,96753,37,398881,5/20/2023,6/14/2023,6/14/2023
CANCELED,Rental-Long Term,House,6900,3900,2995 Kauhale St,,Kihei,4/6/2023,5/5/2023,38,Kihei,HI,96753,36,398560,,,6/15/2023
SOLD,Condominium,Condo,749000,735000,250 Hauoli St,406,Maalaea,3/28/2023,6/15/2023,79,Wailuku,HI,96793,33,398473,4/6/2023,6/15/2023,6/15/2023
SOLD,Residential,SF w/Det Ohana or Cottage,1350000,1488000,55 Hamiha St,,Pukalani,4/19/2023,6/15/2023,57,Pukalani,HI,96768,30,398651,4/24/2023,6/15/2023,6/15/2023
SOLD,Residential,Single Family,7900000,7680000,205 Plantation Club Dr,,Kapalua,5/4/2023,6/15/2023,42,Lahaina,HI,96761,46,398796,5/14/2023,6/15/2023,6/15/2023
SOLD,Condominium,Condo,1995000,1995000,10 WAILEA EKOLU Pl,1306,Wailea/Makena,5/4/2023,5/4/2023,42,Kihei,HI,96753,3,398785,5/6/2023,6/15/2023,6/15/2023
SOLD,Condominium,Condo,2395000,2400000,47 Wailea Gateway Pl,103 (22),Wailea/Makena,5/11/2023,6/15/2023,35,Kihei,HI,96753,32,398842,5/16/2023,6/15/2023,6/15/2023
SOLD,Vacant Land,Vacant Land,500000,500000,37 Middle Rd,2,Kula/Ulupalakua/Kanaio,5/16/2023,5/16/2023,30,Kula,HI,96790,19,398895,5/18/2023,6/15/2023,6/15/2023
PENDING - DO NOT SHOW,Residential,Single Family,500000,500000,1707 Hooli St,,Lahaina,6/6/2023,6/6/2023,364,Lahaina,HI,96761,17,399057,6/16/2023,,6/16/2023
SOLD,Residential,Single Family,699000,550000,851 Lui St,,Lahaina,1/20/2023,6/16/2023,147,Lahaina,HI,96761,30,397918,4/14/2023,6/16/2023,6/16/2023
